Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-07,73460.83091722766,73818.73995945533,72834.49009332925,73102.921875,152145,0.0,0
2019-01-08,73550.31746549079,73729.27200920245,72387.11293136503,72923.9765625,149000,0.0,0
2019-01-09,72566.06257603406,73550.3125,72566.06257603406,73550.3125,145701,0.0,0
2019-01-10,73192.40336004933,73281.88062577066,72208.15343711467,72566.0625,311628,0.0,0
2019-01-11,72655.53707627118,73908.21875,72655.53707627118,73908.21875,211882,0.0,0
2019-01-14,73729.26703163017,73997.69882907542,73192.40343673965,73550.3125,127048,0.0,0
2019-01-15,73818.75211021908,74892.47941364045,73371.36573379351,74534.5703125,225666,0.0,0
2019-01-16,73908.2244420989,74802.99713510253,73639.79263419782,74176.65625,174318,0.0,0
2019-01-17,74624.04059938525,76592.54047131148,74445.08606557378,76413.5859375,383196,0.0,0
2019-01-18,76682.02414938668,76771.50142377336,75787.25140551986,76592.546875,154126,0.0,0
2019-01-21,76592.54047131148,76682.01773821721,75608.29053534837,76413.5859375,173378,0.0,0
2019-01-22,76592.53446327682,79545.28403954802,76592.53446327682,79187.375,633907,0.0,0
2019-01-23,79187.38221021475,81424.31391106828,79097.90494218061,81245.359375,490020,0.0,0
2019-01-24,80171.6349726776,82050.65766734973,80171.6349726776,81871.703125,301733,0.0,0
2019-01-25,81245.35527027027,83124.37780405405,81245.35527027027,82766.46875,461950,0.0,0
2019-01-28,82319.0859962406,83571.76773966165,82319.0859962406,83303.3359375,256923,0.0,0
2019-01-29,82587.51710032189,83482.2897666309,82319.08530042919,83392.8125,244795,0.0,0
2019-01-30,84019.1533664163,84019.1533664163,82498.03983369099,83392.8125,286515,0.0,0
2019-01-31,82766.47504069933,82855.95231101359,77934.70244372878,79008.4296875,1138071,0.0,0
2019-02-01,78650.52131164966,79276.86220946712,77666.27132936507,78918.953125,347461,0.0,0
2019-02-07,79366.32951977401,79366.32951977401,78024.17062146892,79187.375,212140,0.0,0
2019-02-08,79008.4332290495,79545.296875,78561.04685742408,79545.296875,215024,0.0,0
2019-02-11,79813.71864358684,79813.71864358684,78561.03696083995,78829.46875,216913,0.0,0
2019-02-12,79276.85796734234,79455.8125,78471.56257038287,79455.8125,211206,0.0,0
2019-02-13,79097.90489130435,80440.06391095318,78650.51855142141,80261.109375,218302,0.0,0
2019-02-14,79455.81401431718,81245.359375,79366.33674628304,81245.359375,344676,0.0,0
2019-02-15,80887.44671563193,81603.26482815965,80350.58313123614,80708.4921875,202096,0.0,0
2019-02-18,80976.92327657808,81424.30959302327,80529.5369601329,80797.96875,131052,0.0,0
2019-02-19,80529.53765936807,81782.21935629158,80171.62860310421,80708.4921875,144095,0.0,0
2019-02-20,80619.01710164835,81513.78976648352,80350.5853021978,81424.3125,204325,0.0,0
2019-02-21,81155.88565884846,82140.13565030087,80708.49929909737,81782.2265625,192141,0.0,0
2019-02-22,81603.26696329255,81692.74422969967,79813.72163515017,80440.0625,242552,0.0,0
2019-02-25,80082.15194873595,80976.92459620786,79545.2883602528,79634.765625,214869,0.0,0
2019-02-26,79276.85656601122,79724.24288974718,78918.94750702246,79634.765625,176932,0.0,0
2019-02-27,79276.85309008381,80440.0574807961,79187.37582925978,80082.1484375,146442,0.0,0
2019-02-28,80529.5404100902,80619.01767721253,79366.33593750001,79366.3359375,305820,0.0,0
2019-03-04,79276.86220946712,79992.68037840136,78650.52131164966,78918.953125,262931,0.0,0
2019-03-05,78382.08523375142,79545.2896949829,78203.13070125428,78471.5625,193767,0.0,0
2019-03-06,78561.03106978085,78561.03106978085,77397.82673731257,77576.78125,240566,0.0,0
2019-03-07,77845.21945123706,78024.17397871117,76324.10596770715,77755.7421875,254330,0.0,0
2019-03-08,77397.82866537222,77487.3059239449,76234.62430392732,76324.1015625,229440,0.0,0
2019-03-11,75966.19960297132,77218.88133965165,75876.72233606558,76413.5859375,159141,0.0,0
2019-03-12,76950.4460128056,77666.26411525029,76682.01422438883,76860.96875,128736,0.0,0
2019-03-13,76145.15413678279,76950.44953893444,75787.24506915984,76413.5859375,153582,0.0,0
2019-03-14,76950.45525816803,77218.88707883605,75876.72797549592,76682.0234375,350236,0.0,0
2019-03-15,76682.01443671963,79366.33232832009,76592.5371736663,78829.46875,335059,0.0,0
2019-03-18,78918.95454545454,79366.34090909091,78292.61363636365,78740.0,100564,0.0,0
2019-03-19,78829.47727272728,79366.34090909091,78113.6590909091,78740.0,92049,0.0,0
2019-03-20,78113.6534350057,79276.85789623717,77755.74437001141,78471.5625,99031,0.0,0
2019-03-21,77934.69671497411,79008.42387981876,77487.31039628884,77755.7421875,169542,0.0,0
2019-03-22,77397.83949842135,78561.0440226751,77218.88495622847,77934.703125,137859,0.0,0
2019-03-25,78561.04471919221,78561.04471919221,75787.24929061026,75876.7265625,216646,0.0,0
2019-03-26,75876.72298099763,76771.49565766033,75339.859375,75339.859375,155502,0.0,0
2019-03-27,75160.90625,75787.24713541666,74713.5199032738,75160.90625,131830,0.0,0
2019-03-28,74445.08243727598,75160.9005376344,73997.69612455196,74892.46875,116210,0.0,0
2019-03-29,75518.81461801426,75518.81461801426,74355.61012745243,75250.3828125,163740,0.0,0
2019-04-01,75339.86078869048,75608.29259672618,74713.5199032738,75160.90625,130879,0.0,0
2019-04-02,74892.47094119822,75787.24359282544,74802.9936760355,75608.2890625,188784,0.0,0
2019-04-03,74981.94820636095,75876.72085798817,74981.94820636095,75608.2890625,222599,0.0,0
2019-04-04,75608.2890625,76145.15265347633,75071.42547152366,75608.2890625,166346,0.0,0
2019-04-05,75429.3402030513,76055.68110627947,75160.90838738208,75876.7265625,123927,0.0,0
2019-04-08,75876.72085798817,75966.19812315088,75250.38000184912,75608.2890625,139783,0.0,0
2019-04-09,75250.38140384044,76055.67680530841,75160.90413701067,75429.3359375,152930,0.0,0
2019-04-10,75339.85804093567,76503.0625,75250.3807748538,76503.0625,135969,0.0,0
2019-04-11,76413.58948027091,76503.06675132508,75697.77131183745,75966.203125,240754,0.0,0
2019-04-12,76055.6796875,76055.6796875,75429.33879595587,76055.6796875,121493,0.0,0
2019-04-15,75876.72867990653,77397.84234448014,75876.72867990653,76592.546875,195258,0.0,0
2019-04-16,76234.62791036088,76950.4460128056,75876.71885913853,76860.96875,129510,0.0,0
2019-04-17,76682.02272727274,76950.45454545454,76055.68181818182,76771.5,123669,0.0,0
2019-04-18,77487.31601102941,77487.31601102941,75787.24787683823,76055.6796875,178481,0.0,0
2019-04-19,75787.24429798579,75876.72156398105,74892.47163803318,75518.8125,142623,0.0,0
2019-04-22,75250.38351934524,75518.81532738096,74892.47444196428,75160.90625,97605,0.0,0
2019-04-23,75518.81179733727,75787.24359282544,74981.94820636095,75608.2890625,87360,0.0,0
2019-04-24,75608.29047115955,75966.19953847864,74892.47233652134,75429.3359375,179508,0.0,0
2019-04-25,75429.33523400474,75966.1988299763,74981.94890402844,75518.8125,135067,0.0,0
2019-04-26,75518.81532738096,75697.76986607142,74892.47444196428,75160.90625,130838,0.0,0
2019-04-29,74713.51993977673,76145.15625,74445.08813160987,76145.15625,151870,0.0,0
2019-04-30,76055.68039605417,76592.54402237927,74981.953143404,75966.203125,179530,0.0,0
2019-05-02,75250.38070201423,75697.76703199053,74981.94890402844,75518.8125,150033,0.0,0
2019-05-03,75071.43039603221,75429.33948016108,74802.99858293556,74981.953125,99324,0.0,0
2019-05-07,74445.08805790108,74534.56532720145,73639.79263419782,74176.65625,223288,0.0,0
2019-05-08,73371.36434314321,73997.7052582676,73102.93252237562,73729.2734375,166070,0.0,0
2019-05-09,73729.26905583437,73818.74632410602,71313.3828125,71313.3828125,363712,0.0,0
2019-05-10,71402.85873842592,73192.40407021604,71402.85873842592,72476.5859375,229788,0.0,0
2019-05-13,71581.82311028501,72387.11862027571,70687.05032140644,72208.1640625,211718,0.0,0
2019-05-14,72834.49856366459,72834.49856366459,71581.81677018633,72029.203125,194982,0.0,0
2019-05-15,72834.49500385801,73281.88133680554,72208.15413773147,72476.5859375,224009,0.0,0
2019-05-16,72029.20812774122,72566.07179080513,71223.91263314536,71402.8671875,261414,0.0,0
2019-05-17,71939.72585403726,72923.97583462733,71223.9076863354,72029.203125,202796,0.0,0
2019-05-20,72208.15413773147,72834.49500385801,72118.67687114197,72476.5859375,99428,0.0,0
2019-05-21,71581.81257706536,72923.97156288533,71581.81257706536,72566.0625,167847,0.0,0
2019-05-22,72297.6328125,72834.4964224938,72029.20100750308,72297.6328125,149061,0.0,0
2019-05-23,72118.68111579755,73013.45383435582,72118.68111579755,72923.9765625,118666,0.0,0
2019-05-24,72923.97585401348,73281.88493795956,72655.54404105393,73013.453125,112800,0.0,0
2019-05-27,73102.92757240855,73729.26844512195,72745.01850228659,73371.359375,94601,0.0,0
2019-05-28,73729.26552890528,73729.26552890528,72745.015625,72745.015625,276699,0.0,0
2019-05-29,72745.01766857009,72745.01766857009,71402.858670995,71492.3359375,250426,0.0,0
2019-05-30,70776.5206362438,72118.6796875,70776.5206362438,72118.6796875,181850,0.0,0
2019-05-31,71581.81466584158,72387.1100808323,71313.38286084468,72297.6328125,182756,0.0,0
2019-06-03,71671.29202748495,74534.56461784638,71581.81475903615,74266.1328125,298412,0.0,0
2019-06-04,74266.13422780797,74534.56603826993,73550.31606657608,74087.1796875,123540,0.0,0
2019-06-05,73997.6937748319,74624.03459275673,72834.48939868582,73192.3984375,193541,0.0,0
2019-06-07,72923.97727272728,73281.88636363637,72208.1590909091,72834.5,152787,0.0,0
2019-06-10,73013.44543530834,73997.6953125,72655.53638905683,73997.6953125,110985,0.0,0
2019-06-11,73550.3097003632,74355.605062046,73371.3551755448,73908.21875,113019,0.0,0
2019-06-12,73908.22233698917,74534.5632042518,73460.83600323017,74445.0859375,144386,0.0,0
2019-06-13,73908.2293855042,74534.5703125,73013.45663265306,74534.5703125,292852,0.0,0
2019-06-14,73818.74576940433,74355.609375,73192.40489620938,74355.609375,200113,0.0,0
2019-06-17,74445.08805790108,74445.08805790108,73639.79263419782,74176.65625,95280,0.0,0
2019-06-18,73818.74576940433,74713.5184453971,73818.74576940433,74355.609375,93909,0.0,0
2019-06-19,74445.08243727598,75160.9005376344,74087.17338709677,74892.46875,142339,0.0,0
2019-06-20,74266.1328125,74624.04188629518,73908.22373870482,74266.1328125,143901,0.0,0
2019-06-21,73997.70100715362,74802.99642319277,73908.22373870482,74266.1328125,205919,0.0,0
2019-06-24,74802.99787693683,75250.38422787546,74176.65698562277,75071.4296875,111799,0.0,0
2019-06-25,75071.42687018089,75608.29047115955,74802.99506969158,75429.3359375,152114,0.0,0
2019-06-26,74892.46945088217,74981.94671426436,74266.12860720693,74802.9921875,139469,0.0,0
2019-06-27,74355.61082589286,75518.81532738096,73908.22447916666,75160.90625,148773,0.0,0
2019-06-28,74802.9921875,75518.8102945574,74713.51492411782,74802.9921875,89465,0.0,0
2019-07-01,75339.86008100475,75429.3373495095,74802.9964699762,75250.3828125,66315,0.0,0
2019-07-02,74802.99576900237,75339.859375,74445.08669833728,75339.859375,90946,0.0,0
2019-07-03,75250.38419950182,75339.86146965579,73997.70241734601,74087.1796875,116442,0.0,0
2019-07-04,73371.35295690708,73550.30747631418,72745.01213898227,73192.3984375,183859,0.0,0
2019-07-05,72745.01283277234,73460.83091722766,72566.0583116585,73102.921875,161321,0.0,0
2019-07-08,72655.54188582921,73192.40549582301,72029.20100750308,72297.6328125,143530,0.0,0
